Date,Open,Open2,Close,Close2,Moving Average,Stochastic,Momentum,Subtracao,Commodity Channel Index
2006-02-21,2.5211,"2,521,071",2.4671,"2,467,143",2.4219,0.9522184953,0.1907,0.0453,9011.6803
2006-02-22,2.4643,"2,464,286",2.5471,"2,547,143",2.4430,0.7457355007,0.0632,0.1042,11925.7811
2006-02-23,2.5639,"2,563,929",2.5625,"2,562,500",2.4634,1,0.2361,0.0991,11656.5178
2006-02-24,2.5764,"2,576,429",2.5521,"2,552,143",2.4993,1,0.1468,0.0528,12647.6357
2006-02-27,2.5711,"2,571,071",2.5354,"2,535,357",2.5188,0.8913871032,0.0800,0.0165,11729.5791
2006-02-28,2.5564,"2,556,429",2.4461,"2,446,071",2.5279,0.7153538807,0.0150,0.0818,13228.6420
2006-03-01,2.4586,"2,458,571",2.4679,"2,467,857",2.5172,0,-0.0643,0.0494,14219.8861
2006-03-02,2.4639,"2,463,928",2.4861,"2,486,071",2.5112,0.1871183296,0.0007,0.0251,15658.7778
2006-03-03,2.4786,"2,478,571",2.4186,"2,418,571",2.5139,0.3435570176,-0.0611,0.0953,16412.2316
2006-03-06,2.4175,"2,417,500",2.3386,"2,338,571",2.4955,0,-0.1439,0.1569,16636.6824
2006-03-07,2.3486,"2,348,572",2.3682,"2,368,214",2.4635,0,-0.2136,0.0953,14434.9329
2006-03-08,2.3675,"2,367,500",2.3450,"2,345,000",2.4372,0.150635716,-0.1671,0.0922,13114.5849
2006-03-09,2.3564,"2,356,429",2.2832,"2,283,214",2.4101,0.04358644068,-0.1011,0.1268,11321.0074
2006-03-10,2.2875,"2,287,500",2.2568,"2,256,786",2.3868,0,-0.1846,0.1300,10423.8932
2006-03-13,2.3232,"2,323,214",2.3457,"2,345,714",2.3566,0,-0.2293,0.0109,9142.6540
2006-03-14,2.3489,"2,348,929",2.4043,"2,404,286",2.3366,0.549667769,-0.0729,0.0677,9246.5853
2006-03-15,2.4182,"2,418,214",2.3654,"2,365,357",2.3345,1,0.0657,0.0308,9613.5377
2006-03-16,2.3875,"2,387,500",2.2968,"2,296,786",2.3384,0.7360745763,-0.0029,0.0416,11822.1729
2006-03-17,2.3125,"2,312,500",2.3093,"2,309,286",2.3282,0.2711864407,-0.0482,0.0189,13035.0739
